2022-05-31 09:04:04.881836  method: stauff19_get, event: //sbs-dc/share/ООО_ШТАУФФ/Отдел логистики/ВЭД/Приход-отправка/СПЕЦИФИКАЦИИ для брокера/2255 Stauff/93029936.pdf
2022-05-31 09:04:06.553718  method: stauff12_get, event: //sbs-dc/share/ООО_ШТАУФФ/Отдел логистики/ВЭД/Приход-отправка/СПЕЦИФИКАЦИИ для брокера/2255 Stauff/93029936.pdf
2022-05-31 10:14:31.909748  method: stauff19_get, event: //sbs-dc/share/ООО_ШТАУФФ/Отдел логистики/ВЭД/Приход-отправка/СПЕЦИФИКАЦИИ для брокера/2255 Stauff/93029936.pdf
2022-05-31 10:14:33.175377  method: stauff12_get, event: //sbs-dc/share/ООО_ШТАУФФ/Отдел логистики/ВЭД/Приход-отправка/СПЕЦИФИКАЦИИ для брокера/2255 Stauff/93029936.pdf
2022-05-31 10:46:15.176384  method: stauff19_get, event: //sbs-dc/share/ООО_ШТАУФФ/Отдел логистики/ВЭД/Приход-отправка/СПЕЦИФИКАЦИИ для брокера/2255 Stauff/93029937.pdf
2022-05-31 10:46:21.473267  method: stauff12_get, event: //sbs-dc/share/ООО_ШТАУФФ/Отдел логистики/ВЭД/Приход-отправка/СПЕЦИФИКАЦИИ для брокера/2255 Stauff/93029937.pdf
2022-05-31 12:00:41.631654  method: stauff19_get, event: //sbs-dc/share/ООО_ШТАУФФ/Отдел логистики/ВЭД/Приход-отправка/СПЕЦИФИКАЦИИ для брокера/2255 Stauff/93029938.pdf
2022-05-31 12:00:43.287915  method: stauff12_get, event: //sbs-dc/share/ООО_ШТАУФФ/Отдел логистики/ВЭД/Приход-отправка/СПЕЦИФИКАЦИИ для брокера/2255 Stauff/93029938.pdf
2022-05-31 12:10:13.685345  method: stauff19_get, event: //sbs-dc/share/ООО_ШТАУФФ/Отдел логистики/ВЭД/Приход-отправка/СПЕЦИФИКАЦИИ для брокера/2255 Stauff/93029939.pdf
2022-05-31 12:10:16.169724  method: stauff12_get, event: //sbs-dc/share/ООО_ШТАУФФ/Отдел логистики/ВЭД/Приход-отправка/СПЕЦИФИКАЦИИ для брокера/2255 Stauff/93029939.pdf
2022-05-31 12:17:03.358733  method: stauff19_get, event: //sbs-dc/share/ООО_ШТАУФФ/Отдел логистики/ВЭД/Приход-отправка/СПЕЦИФИКАЦИИ для брокера/2255 Stauff/93029940.pdf
2022-05-31 12:17:04.671189  method: stauff12_get, event: //sbs-dc/share/ООО_ШТАУФФ/Отдел логистики/ВЭД/Приход-отправка/СПЕЦИФИКАЦИИ для брокера/2255 Stauff/93029940.pdf
2022-05-31 12:20:13.095388  method: stauff19_get, event: //sbs-dc/share/ООО_ШТАУФФ/Отдел логистики/ВЭД/Приход-отправка/СПЕЦИФИКАЦИИ для брокера/2255 Stauff/93029941.pdf
2022-05-31 12:20:14.954743  method: stauff12_get, event: //sbs-dc/share/ООО_ШТАУФФ/Отдел логистики/ВЭД/Приход-отправка/СПЕЦИФИКАЦИИ для брокера/2255 Stauff/93029941.pdf
